id,source,title,price,bookingUrl,final_url,status_code,category,reason,matched_keyword,elapsed_ms,domain_rule,title_token_hits,text_sample
tour_1,假日通,贺州姑婆山伴山温泉3天,499,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B267L98641966HOLIDAY,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B267L98641966HOLIDAY,200,ok,假日通 detail content found,,1743,假日通,贺州姑婆山伴山温泉3天,广州市假日通国际旅行社_广州旅行社_假日通旅行社唯一官网_客服热线_020-66825678_83398139 你好 ，欢迎来到广东省内游专家：广州市假日通国际旅行社官网！ [登录] [免费注册] | 会员中心 | 非会员订单查询 | 假日通各分店电话 官方微信 官方微博 |收藏广州旅行社假日通官网 热门分类： 品质 | 海滩 | 温泉 | 休闲 | 生态 | 跨省 | 一天游 首 页 热销 自由行 包团定制 您现在所在的位置： 首页 
tour_2,假日通,阳山第一峰4天,499,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B267G25001HOLIDAY,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B267G25001HOLIDAY,200,ok,假日通 detail content found,,1771,假日通,阳山第一峰4天,广州市假日通国际旅行社_广州旅行社_假日通旅行社唯一官网_客服热线_020-66825678_83398139 你好 ，欢迎来到广东省内游专家：广州市假日通国际旅行社官网！ [登录] [免费注册] | 会员中心 | 非会员订单查询 | 假日通各分店电话 官方微信 官方微博 |收藏广州旅行社假日通官网 热门分类： 品质 | 海滩 | 温泉 | 休闲 | 生态 | 跨省 | 一天游 首 页 热销 自由行 包团定制 您现在所在的位置： 首页 
tour_3,假日通,新丰雅致酒店3天(含餐),399,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B266798638182HOLIDAY,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B266798638182HOLIDAY,200,ok,假日通 detail content found,,2814,假日通,"新丰雅致酒店3天, 含餐",广州市假日通国际旅行社_广州旅行社_假日通旅行社唯一官网_客服热线_020-66825678_83398139 你好 ，欢迎来到广东省内游专家：广州市假日通国际旅行社官网！ [登录] [免费注册] | 会员中心 | 非会员订单查询 | 假日通各分店电话 官方微信 官方微博 |收藏广州旅行社假日通官网 热门分类： 品质 | 海滩 | 温泉 | 休闲 | 生态 | 跨省 | 一天游 首 页 热销 自由行 包团定制 您现在所在的位置： 首页 
tour_4,假日通,龙门云顶2天(威士忌畔山),349,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B266T39147345HOLIDAY,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B266T39147345HOLIDAY,200,unavailable,假日通 detail shell without content,,2650,假日通,,广州市假日通国际旅行社_广州旅行社_假日通旅行社唯一官网_客服热线_020-66825678_83398139 你好 ，欢迎来到广东省内游专家：广州市假日通国际旅行社官网！ [登录] [免费注册] | 会员中心 | 非会员订单查询 | 假日通各分店电话 官方微信 官方微博 |收藏广州旅行社假日通官网 热门分类： 品质 | 海滩 | 温泉 | 休闲 | 生态 | 跨省 | 一天游 首 页 热销 自由行 包团定制 您现在所在的位置： 首页 
tour_5,假日通,龙门温德姆温泉2天(新),369,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B266T19687182HOLIDAY,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B266T19687182HOLIDAY,200,ok,假日通 detail content found,,3093,假日通,龙门温德姆温泉2天,广州市假日通国际旅行社_广州旅行社_假日通旅行社唯一官网_客服热线_020-66825678_83398139 你好 ，欢迎来到广东省内游专家：广州市假日通国际旅行社官网！ [登录] [免费注册] | 会员中心 | 非会员订单查询 | 假日通各分店电话 官方微信 官方微博 |收藏广州旅行社假日通官网 热门分类： 品质 | 海滩 | 温泉 | 休闲 | 生态 | 跨省 | 一天游 首 页 热销 自由行 包团定制 您现在所在的位置： 首页 
tour_7,假日通,龙门云顶温泉3天(畔山),669,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B266T16329756HOLIDAY,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B266T16329756HOLIDAY,200,ok,假日通 detail content found,,2317,假日通,"龙门云顶温泉3天, 畔山",广州市假日通国际旅行社_广州旅行社_假日通旅行社唯一官网_客服热线_020-66825678_83398139 你好 ，欢迎来到广东省内游专家：广州市假日通国际旅行社官网！ [登录] [免费注册] | 会员中心 | 非会员订单查询 | 假日通各分店电话 官方微信 官方微博 |收藏广州旅行社假日通官网 热门分类： 品质 | 海滩 | 温泉 | 休闲 | 生态 | 跨省 | 一天游 首 页 热销 自由行 包团定制 您现在所在的位置： 首页 
tour_8,假日通,行摄霞浦 动车5天,2999,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B266H52362829HOLIDAY,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B266H52362829HOLIDAY,200,unavailable,假日通 detail shell without content,,2635,假日通,,广州市假日通国际旅行社_广州旅行社_假日通旅行社唯一官网_客服热线_020-66825678_83398139 你好 ，欢迎来到广东省内游专家：广州市假日通国际旅行社官网！ [登录] [免费注册] | 会员中心 | 非会员订单查询 | 假日通各分店电话 官方微信 官方微博 |收藏广州旅行社假日通官网 热门分类： 品质 | 海滩 | 温泉 | 休闲 | 生态 | 跨省 | 一天游 首 页 热销 自由行 包团定制 您现在所在的位置： 首页 
tour_9,假日通,萌娃游湖南高铁5天,1899,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B267O30001HOLIDAY,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B267O30001HOLIDAY,200,ok,假日通 detail content found,,2520,假日通,萌娃游湖南高铁5天,广州市假日通国际旅行社_广州旅行社_假日通旅行社唯一官网_客服热线_020-66825678_83398139 你好 ，欢迎来到广东省内游专家：广州市假日通国际旅行社官网！ [登录] [免费注册] | 会员中心 | 非会员订单查询 | 假日通各分店电话 官方微信 官方微博 |收藏广州旅行社假日通官网 热门分类： 品质 | 海滩 | 温泉 | 休闲 | 生态 | 跨省 | 一天游 首 页 热销 自由行 包团定制 您现在所在的位置： 首页 
tour_10,假日通,汕尾红海湾3天,399,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B267E13001HOLIDAY,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B267E13001HOLIDAY,200,unavailable,假日通 detail shell without content,,952,假日通,,广州市假日通国际旅行社_广州旅行社_假日通旅行社唯一官网_客服热线_020-66825678_83398139 你好 ，欢迎来到广东省内游专家：广州市假日通国际旅行社官网！ [登录] [免费注册] | 会员中心 | 非会员订单查询 | 假日通各分店电话 官方微信 官方微博 |收藏广州旅行社假日通官网 热门分类： 品质 | 海滩 | 温泉 | 休闲 | 生态 | 跨省 | 一天游 首 页 热销 自由行 包团定制 您现在所在的位置： 首页 
tour_11,假日通,金水台温泉2天（含晚）,329,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B266F66489899HOLIDAY,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B266F66489899HOLIDAY,200,unavailable,假日通 detail shell without content,,2640,假日通,,广州市假日通国际旅行社_广州旅行社_假日通旅行社唯一官网_客服热线_020-66825678_83398139 你好 ，欢迎来到广东省内游专家：广州市假日通国际旅行社官网！ [登录] [免费注册] | 会员中心 | 非会员订单查询 | 假日通各分店电话 官方微信 官方微博 |收藏广州旅行社假日通官网 热门分类： 品质 | 海滩 | 温泉 | 休闲 | 生态 | 跨省 | 一天游 首 页 热销 自由行 包团定制 您现在所在的位置： 首页 
tour_12,假日通,龙门地派温泉3天(食4餐),499,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B266O76831578HOLIDAY,http://www.jrt365.com/tourgroup/tourgroup_ziliao.aspx?groupno=B266O76831578HOLIDAY,200,unavailable,假日通 detail shell without content,,1686,假日通,,广州市假日通国际旅行社_广州旅行社_假日通旅行社唯一官网_客服热线_020-66825678_83398139 你好 ，欢迎来到广东省内游专家：广州市假日通国际旅行社官网！ [登录] [免费注册] | 会员中心 | 非会员订单查询 | 假日通各分店电话 官方微信 官方微博 |收藏广州旅行社假日通官网 热门分类： 品质 | 海滩 | 温泉 | 休闲 | 生态 | 跨省 | 一天游 首 页 热销 自由行 包团定制 您现在所在的位置： 首页 
