[FOUND] /line/list.aspx -> HTTP 200, text/html, 93073 bytes
[FOUND] /line/list.html -> HTTP 200, text/html, 272304 bytes
[FOUND] /line/list -> HTTP 200, text/html, 272304 bytes
[FOUND] /line/list.json -> HTTP 200, text/html, 272304 bytes
[FOUND] /line/list.xml -> HTTP 200, text/html, 272304 bytes
[FOUND] /api/line/list -> HTTP 200, text/html, 272304 bytes
[FOUND] /api/line/list.json -> HTTP 200, text/html, 272304 bytes
[FOUND] /ajax/line/list -> HTTP 200, text/html, 272304 bytes
[FOUND] /ajax/line/list.json -> HTTP 200, text/html, 272304 bytes
[FOUND] /data/line/list -> HTTP 200, text/html, 272304 bytes
[FOUND] /data/line/list.json -> HTTP 200, text/html, 272304 bytes
